,hr,designer,information-technology,teacher,advocate,business-development,healthcare,fitness,agriculture,bpo,sales,consultant,digital-media,automobile,chef,finance,apparel,engineering,accountant,construction,public-relations,banking,arts,aviation
hr,1827,3,10,3,30,16,36,24,3,19,5,56,13,5,11,17,17,11,40,7,16,26,30,6
senior,107,86,100,14,69,115,73,50,35,22,29,80,82,45,37,196,65,62,156,105,95,152,31,63
summary,95,91,75,86,100,89,86,89,53,17,99,86,72,30,96,107,75,90,116,106,91,96,75,97
sr,23,13,3,0,7,14,6,1,3,19,0,10,23,13,0,19,39,11,4,10,5,28,1,1
directv,4,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,1,0,0,0,2,0,0,0
assistant,126,47,47,110,85,29,114,96,55,13,59,35,40,18,53,59,144,39,59,62,118,91,100,61
regional,49,3,14,12,13,52,50,16,18,3,15,26,23,9,14,29,11,8,11,20,33,64,18,8
field,37,53,44,56,39,26,45,30,66,5,19,61,22,14,17,22,18,88,21,142,24,17,43,49
territory,18,3,1,0,5,108,40,17,3,0,37,14,7,1,0,1,8,0,2,0,6,23,3,4
general,85,28,37,47,60,49,66,115,42,16,58,78,20,37,68,208,57,32,402,168,47,63,50,71
recruiting,256,2,4,12,16,30,55,30,11,16,14,7,12,6,31,7,33,6,2,2,26,34,15,13
volunteer,33,15,15,28,34,19,23,36,52,4,17,15,14,2,17,7,20,19,11,3,52,25,46,9
global,45,15,35,2,8,54,33,9,13,18,6,68,85,5,4,61,20,47,12,10,42,32,19,55
director,76,49,122,46,56,253,91,95,45,19,8,66,165,10,36,228,67,53,25,44,124,62,94,45
executive,94,7,56,20,45,128,86,42,30,29,35,76,48,18,412,119,40,15,37,27,135,84,40,38
designation,9,0,1,0,2,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,0,0,0,0
designer,0,517,10,8,3,4,1,2,0,0,1,3,3,1,3,0,70,14,1,6,8,3,4,1
multimedia,4,17,11,3,15,0,0,2,2,2,1,3,25,5,0,1,1,5,0,2,15,4,7,3
graphic,2,331,6,1,1,8,3,1,3,5,5,1,34,2,2,3,35,7,1,4,34,2,22,3
elearning,0,35,0,5,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
technical,61,169,354,20,50,83,85,16,47,35,52,169,146,47,19,36,73,261,46,108,39,87,64,179
mechanical,4,92,11,11,3,2,6,31,9,0,8,8,2,24,2,2,14,249,1,38,0,2,8,73
website,26,69,56,8,8,36,17,17,8,1,12,48,124,9,10,22,18,6,0,10,115,14,31,9
floral,0,84,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
instructional,1,115,3,88,4,2,12,5,13,2,2,3,6,7,1,0,3,1,3,0,2,2,50,12
product,31,213,82,37,78,238,141,103,49,4,215,181,221,32,163,83,339,290,39,54,126,105,43,75
forms,49,27,17,26,41,18,43,17,5,7,25,23,9,3,13,30,13,27,41,17,21,19,18,37
information,228,122,1258,86,270,163,294,119,108,42,186,208,127,69,97,168,127,104,222,125,191,187,152,227
independent,8,15,6,5,14,8,14,11,5,2,13,17,15,2,12,8,7,13,12,5,14,14,20,8
web,16,118,146,6,14,34,31,5,16,9,8,102,151,22,4,15,14,73,7,13,115,40,33,13
vr,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
solution,0,21,77,1,4,32,18,4,7,10,15,49,15,8,4,10,6,41,3,5,1,29,5,7
interior,0,195,1,2,1,8,3,1,3,0,1,0,2,1,4,3,8,3,2,36,1,0,5,5
cad,0,97,2,16,1,0,2,2,1,0,1,0,0,2,0,0,14,49,0,13,1,0,3,7
project,140,272,563,55,76,151,227,62,185,40,109,363,215,85,46,211,84,521,150,1202,221,346,108,137
lighting,0,40,0,1,0,7,0,0,1,0,2,1,2,0,1,2,7,35,1,5,0,4,7,0
set,37,55,58,40,40,28,44,31,15,11,52,35,32,10,56,33,64,26,41,30,34,27,28,23
freelance,2,50,4,0,0,0,1,0,0,0,1,0,18,0,2,0,22,0,0,0,6,0,2,0
